timestamp,date,day_of_month,hour,day_of_week,is_weekend,vm_id,vm_role,subnet,region,cpu_usage_pct,memory_usage_pct,storage_used_gb,failed_ssh_logins,active_sessions,http_error_rate_pct,network_in_mb,network_out_mb,disk_iops,incident_flag,incident_type,incident_description
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,medicore-web-vm-01,web,private,UK South,20.0,51.0,40.19,0,5,0.48,30.2,9.2,17,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,medicore-web-vm-02,web,private,UK South,12.3,48.7,40.07,0,5,0.39,2.7,12.4,0,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,medicore-app-vm-01,app,private,UK South,14.7,60.8,55.65,0,6,0.06,21.0,8.8,35,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,medicore-app-vm-02,app,private,UK South,16.6,62.7,55.62,0,8,0.1,26.7,11.3,26,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,medicore-app-vm-03,app,private,UK South,9.1,55.0,55.86,0,3,0.49,26.5,7.9,54,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,medicore-db-primary,db,restricted,UK South,16.1,71.5,127.75,1,0,0.0,15.5,10.9,55,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,medicore-db-replica,db,restricted,UK South,16.7,58.7,128.25,0,0,0.0,20.4,17.8,139,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,medicore-bastion-01,bastion,bastion,UK South,6.5,12.4,13.01,0,0,0.0,10.6,3.5,5,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,safedata-web-vm-01,web,private,UK West,23.2,52.1,39.84,1,5,0.44,6.0,8.8,17,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,safedata-web-vm-02,web,private,UK West,16.8,58.8,39.79,0,3,0.26,15.4,3.5,7,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,safedata-app-vm-01,app,private,UK West,15.9,54.4,55.95,0,7,0.02,21.2,12.4,109,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,safedata-app-vm-02,app,private,UK West,16.8,62.1,55.99,1,8,0.42,8.7,6.1,19,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,safedata-db-01,db,restricted,UK West,12.4,61.5,127.53,0,0,0.0,18.5,6.5,192,0,,
2025-06-01 00:00:00,2025-06-01,1,0,Sunday,1,safedata-bastion-01,bastion,bastion,UK West,2.0,12.0,12.24,1,1,0.0,8.2,13.6,4,0,,
2025-06-01 01:00:00,2025-06-01,1,1,Sunday,1,medicore-web-vm-01,web,private,UK South,6.1,42.8,40.16,2,4,0.05,20.4,13.0,0,0,,
2025-06-01 01:00:00,2025-06-01,1,1,Sunday,1,medicore-web-vm-02,web,private,UK South,24.4,61.3,40.22,0,7,0.13,10.4,17.3,9,0,,
2025-06-01 01:00:00,2025-06-01,1,1,Sunday,1,medicore-app-vm-01,app,private,UK South,25.3,63.8,56.82,0,3,0.32,18.8,11.3,58,0,,
2025-06-01 01:00:00,2025-06-01,1,1,Sunday,1,medicore-app-vm-02,app,private,UK South,15.3,65.4,56.31,0,5,0.31,15.3,18.3,37,0,,
2025-06-01 01:00:00,2025-06-01,1,1,Sunday,1,medicore-app-vm-03,app,private,UK South,23.2,67.5,55.71,0,12,0.05,29.1,9.1,38,0,,
2025-06-01 01:00:00,2025-06-01,1,1,Sunday,1,medicore-db-primary,db,restricted,UK South,21.3,51.9,128.21,0,0,0.0,5.1,9.2,160,0,,
2025-06-01 01:00:00,2025-06-01,1,1,Sunday,1,medicore-db-replica,db,restricted,UK South,12.3,57.5,127.79,0,0,0.0,23.4,12.3,38,0,,
